district,date,month,year,visitors
Adilabad,1/1/2016,January,2016,792136
Adilabad,2/1/2016,February,2016,937820
Adilabad,3/1/2016,March,2016,582946
Adilabad,4/1/2016,April,2016,341948
Adilabad,5/1/2016,May,2016,252887
Adilabad,6/1/2016,June,2016,368237
Adilabad,7/1/2016,July,2016,447562
Adilabad,8/1/2016,August,2016,614285
Adilabad,9/1/2016,September,2016,491279
Adilabad,10/1/2016,October,2016,94184
Adilabad,11/1/2016,November,2016,99148
Adilabad,12/1/2016,December,2016,53125
Bhadradri Kothagudem ,1/1/2016,January,2016,0
Bhadradri Kothagudem ,2/1/2016,February,2016,0
Bhadradri Kothagudem ,3/1/2016,March,2016,0
Bhadradri Kothagudem ,4/1/2016,April,2016,0
Bhadradri Kothagudem ,5/1/2016,May,2016,0
Bhadradri Kothagudem ,6/1/2016,June,2016,0
Bhadradri Kothagudem ,7/1/2016,July,2016,0
Bhadradri Kothagudem ,8/1/2016,August,2016,0
Bhadradri Kothagudem ,9/1/2016,September,2016,0
Bhadradri Kothagudem ,10/1/2016,October,2016,310133
Bhadradri Kothagudem ,11/1/2016,November,2016,252127
Bhadradri Kothagudem ,12/1/2016,December,2016,326770
Hyderabad,1/1/2016,January,2016,1122510
Hyderabad,2/1/2016,February,2016,778748
Hyderabad,3/1/2016,March,2016,1017794
Hyderabad,4/1/2016,April,2016,1127738
Hyderabad,5/1/2016,May,2016,1287181
Hyderabad,6/1/2016,June,2016,12032661
Hyderabad,7/1/2016,July,2016,1096754
Hyderabad,8/1/2016,August,2016,1061137
Hyderabad,9/1/2016,September,2016,832987
Hyderabad,10/1/2016,October,2016,901960
Hyderabad,11/1/2016,November,2016,909733
Hyderabad,12/1/2016,December,2016,1225502
Jagtial ,1/1/2016,January,2016,0
Jagtial ,2/1/2016,February,2016,0
Jagtial ,3/1/2016,March,2016,0
Jagtial ,4/1/2016,April,2016,0
Jagtial ,5/1/2016,May,2016,0
Jagtial ,6/1/2016,June,2016,0
